[2026-03-23T07:26:32.250+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-23T07:26:32.419+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: reporting_nightly_refresh.location_batches.batch_001__locs_201_to_400 manual__2026-03-23T07:26:28.848501+00:00 [queued]>
[2026-03-23T07:26:32.446+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: reporting_nightly_refresh.location_batches.batch_001__locs_201_to_400 manual__2026-03-23T07:26:28.848501+00:00 [queued]>
[2026-03-23T07:26:32.452+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2026-03-23T07:26:32.551+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): location_batches.batch_001__locs_201_to_400> on 2026-03-23 07:26:28.848501+00:00
[2026-03-23T07:26:32.574+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'reporting_nightly_refresh', 'location_batches.batch_001__locs_201_to_400', 'manual__2026-03-23T07:26:28.848501+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/reporting_refresh_dag.py', '--cfg-path', '/tmp/tmpdu183pcz']
[2026-03-23T07:26:32.582+0000] {standard_task_runner.py:91} INFO - Job 25: Subtask location_batches.batch_001__locs_201_to_400
[2026-03-23T07:26:32.583+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=12264) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-23T07:26:32.585+0000] {standard_task_runner.py:63} INFO - Started process 12276 to run task
[2026-03-23T07:26:33.002+0000] {task_command.py:426} INFO - Running <TaskInstance: reporting_nightly_refresh.location_batches.batch_001__locs_201_to_400 manual__2026-03-23T07:26:28.848501+00:00 [running]> on host a693e61dd0e6
[2026-03-23T07:26:33.915+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='finance-ops' AIRFLOW_CTX_DAG_ID='reporting_nightly_refresh' AIRFLOW_CTX_TASK_ID='location_batches.batch_001__locs_201_to_400' AIRFLOW_CTX_EXECUTION_DATE='2026-03-23T07:26:28.848501+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-23T07:26:28.848501+00:00'
[2026-03-23T07:26:33.918+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-23T07:26:34.117+0000] {refresh_runner.py:135} INFO - Run 20260323_072634 — 200 locations, concurrency=10
[2026-03-23T07:26:36.496+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:37.752+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:38.676+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:39.706+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:40.197+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:41.944+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:44.418+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:51.356+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:54.754+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:56.781+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:59.215+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:27:05.009+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:27:57.049+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
[2026-03-23T07:28:02.122+0000] {process_utils.py:132} INFO - Sending 15 to group 12276. PIDs of all processes in the group: [12286, 12357, 12973, 13570, 14116, 14736, 15322, 15909, 15932, 15937, 16227, 16418, 16218, 15338, 15339, 15592, 15606, 15537, 14754, 14756, 15035, 15115, 14946, 14129, 14136, 14181, 14207, 14167, 13572, 13573, 13590, 13616, 13589, 12975, 12976, 13008, 13040, 12994, 12379, 12380, 12447, 12682, 12443, 12276]
[2026-03-23T07:28:02.301+0000] {process_utils.py:87} INFO - Sending the signal 15 to group 12276
[2026-03-23T07:28:02.320+0000] {taskinstance.py:2607} ERROR - Received SIGTERM. Terminating subprocesses.
[2026-03-23T07:28:02.855+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14754, status='terminated', started='07:26:51') (14754) terminated with exit code None
[2026-03-23T07:28:03.051+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12379, status='terminated', started='07:26:34') (12379) terminated with exit code None
[2026-03-23T07:28:03.177+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12682, status='terminated', started='07:26:35') (12682) terminated with exit code None
[2026-03-23T07:28:03.289+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12443, status='terminated', started='07:26:35') (12443) terminated with exit code None
[2026-03-23T07:28:03.326+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12380, status='terminated', started='07:26:34') (12380) terminated with exit code None
[2026-03-23T07:28:03.513+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13590, status='terminated', started='07:26:39') (13590) terminated with exit code None
[2026-03-23T07:28:03.536+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13570, status='terminated', started='07:26:39') (13570) terminated with exit code None
[2026-03-23T07:28:03.565+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12447, status='terminated', started='07:26:35') (12447) terminated with exit code None
[2026-03-23T07:28:03.637+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15035, status='terminated', started='07:26:52') (15035) terminated with exit code None
[2026-03-23T07:28:03.683+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16418, status='terminated', started='07:27:52') (16418) terminated with exit code None
[2026-03-23T07:28:03.715+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13572, status='terminated', started='07:26:39') (13572) terminated with exit code None
[2026-03-23T07:28:03.747+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14736, status='terminated', started='07:26:50') (14736) terminated with exit code None
[2026-03-23T07:28:03.833+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14756, status='terminated', started='07:26:51') (14756) terminated with exit code None
[2026-03-23T07:28:03.879+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14136, status='terminated', started='07:26:41') (14136) terminated with exit code None
[2026-03-23T07:28:03.882+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15338, status='terminated', started='07:26:56') (15338) terminated with exit code None
[2026-03-23T07:28:03.917+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12357, status='terminated', started='07:26:34') (12357) terminated with exit code None
[2026-03-23T07:28:03.919+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15606, status='terminated', started='07:26:58') (15606) terminated with exit code None
[2026-03-23T07:28:03.954+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14207, status='terminated', started='07:26:43') (14207) terminated with exit code None
[2026-03-23T07:28:03.968+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15537, status='terminated', started='07:26:57') (15537) terminated with exit code None
[2026-03-23T07:28:04.041+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12976, status='terminated', started='07:26:37') (12976) terminated with exit code None
[2026-03-23T07:28:04.055+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15322, status='terminated', started='07:26:56') (15322) terminated with exit code None
[2026-03-23T07:28:04.060+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15115, status='terminated', started='07:26:53') (15115) terminated with exit code None
[2026-03-23T07:28:04.087+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16218, status='terminated', started='07:27:18') (16218) terminated with exit code None
[2026-03-23T07:28:04.090+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13008, status='terminated', started='07:26:37') (13008) terminated with exit code None
[2026-03-23T07:28:04.157+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15909, status='terminated', started='07:27:04') (15909) terminated with exit code None
[2026-03-23T07:28:04.169+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14946, status='terminated', started='07:26:52') (14946) terminated with exit code None
[2026-03-23T07:28:04.174+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15932, status='terminated', started='07:27:06') (15932) terminated with exit code None
[2026-03-23T07:28:04.183+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15592, status='terminated', started='07:26:58') (15592) terminated with exit code None
[2026-03-23T07:28:04.205+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13616, status='terminated', started='07:26:39') (13616) terminated with exit code None
[2026-03-23T07:28:04.215+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13573, status='terminated', started='07:26:39') (13573) terminated with exit code None
[2026-03-23T07:28:04.262+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16227, status='terminated', started='07:27:22') (16227) terminated with exit code None
[2026-03-23T07:28:04.274+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14167, status='terminated', started='07:26:42') (14167) terminated with exit code None
