[2026-03-23T07:26:32.288+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-23T07:26:32.453+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: reporting_nightly_refresh.location_batches.batch_005__locs_1001_to_1200 manual__2026-03-23T07:26:28.848501+00:00 [queued]>
[2026-03-23T07:26:32.475+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: reporting_nightly_refresh.location_batches.batch_005__locs_1001_to_1200 manual__2026-03-23T07:26:28.848501+00:00 [queued]>
[2026-03-23T07:26:32.477+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2026-03-23T07:26:32.627+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): location_batches.batch_005__locs_1001_to_1200> on 2026-03-23 07:26:28.848501+00:00
[2026-03-23T07:26:32.654+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'reporting_nightly_refresh', 'location_batches.batch_005__locs_1001_to_1200', 'manual__2026-03-23T07:26:28.848501+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/reporting_refresh_dag.py', '--cfg-path', '/tmp/tmp5tsfuibn']
[2026-03-23T07:26:32.663+0000] {standard_task_runner.py:91} INFO - Job 28: Subtask location_batches.batch_005__locs_1001_to_1200
[2026-03-23T07:26:32.665+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=12268) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-23T07:26:32.667+0000] {standard_task_runner.py:63} INFO - Started process 12280 to run task
[2026-03-23T07:26:33.080+0000] {task_command.py:426} INFO - Running <TaskInstance: reporting_nightly_refresh.location_batches.batch_005__locs_1001_to_1200 manual__2026-03-23T07:26:28.848501+00:00 [running]> on host a693e61dd0e6
[2026-03-23T07:26:34.026+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='finance-ops' AIRFLOW_CTX_DAG_ID='reporting_nightly_refresh' AIRFLOW_CTX_TASK_ID='location_batches.batch_005__locs_1001_to_1200' AIRFLOW_CTX_EXECUTION_DATE='2026-03-23T07:26:28.848501+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-23T07:26:28.848501+00:00'
[2026-03-23T07:26:34.029+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-23T07:26:34.227+0000] {refresh_runner.py:135} INFO - Run 20260323_072634 — 200 locations, concurrency=10
[2026-03-23T07:26:36.779+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:38.326+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:39.308+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:40.566+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:41.908+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:44.726+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:47.169+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:51.491+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:26:55.665+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:26:58.046+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:27:03.512+0000] {refresh_runner.py:76} INFO - Navigating to login: http://mock_portal:5001
[2026-03-23T07:27:12.560+0000] {refresh_runner.py:82} INFO - Authentication successful.
[2026-03-23T07:27:56.096+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
[2026-03-23T07:28:00.816+0000] {process_utils.py:132} INFO - Sending 15 to group 12280. PIDs of all processes in the group: [12340, 12377, 13030, 13642, 14242, 14746, 15504, 16098, 16160, 16196, 16435, 16413, 15626, 15653, 15795, 15819, 15789, 14789, 14795, 15108, 15234, 15103, 14294, 14299, 14435, 14546, 14389, 13688, 13689, 13778, 13917, 13774, 13090, 13105, 13212, 13376, 13204, 12393, 12394, 12556, 12808, 12521, 12280]
[2026-03-23T07:28:01.313+0000] {process_utils.py:87} INFO - Sending the signal 15 to group 12280
[2026-03-23T07:28:01.653+0000] {taskinstance.py:2607} ERROR - Received SIGTERM. Terminating subprocesses.
[2026-03-23T07:28:02.779+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12394, status='terminated', started='07:26:35') (12394) terminated with exit code None
[2026-03-23T07:28:02.863+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13090, status='terminated', started='07:26:37') (13090) terminated with exit code None
[2026-03-23T07:28:03.086+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16413, status='terminated', started='07:27:52') (16413) terminated with exit code None
[2026-03-23T07:28:03.129+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13030, status='terminated', started='07:26:37') (13030) terminated with exit code None
[2026-03-23T07:28:03.142+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14389, status='terminated', started='07:26:45') (14389) terminated with exit code None
[2026-03-23T07:28:03.193+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13774, status='terminated', started='07:26:40') (13774) terminated with exit code None
[2026-03-23T07:28:03.294+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14795, status='terminated', started='07:26:51') (14795) terminated with exit code None
[2026-03-23T07:28:03.586+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16160, status='terminated', started='07:27:15') (16160) terminated with exit code None
[2026-03-23T07:28:03.679+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12556, status='terminated', started='07:26:35') (12556) terminated with exit code None
[2026-03-23T07:28:03.705+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16435, status='terminated', started='07:27:56') (16435) terminated with exit code None
[2026-03-23T07:28:03.738+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13917, status='terminated', started='07:26:40') (13917) terminated with exit code None
[2026-03-23T07:28:03.816+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13688, status='terminated', started='07:26:40') (13688) terminated with exit code None
[2026-03-23T07:28:03.826+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12808, status='terminated', started='07:26:35') (12808) terminated with exit code None
[2026-03-23T07:28:03.834+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16098, status='terminated', started='07:27:12') (16098) terminated with exit code None
[2026-03-23T07:28:03.838+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14746, status='terminated', started='07:26:50') (14746) terminated with exit code None
[2026-03-23T07:28:03.878+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14299, status='terminated', started='07:26:44') (14299) terminated with exit code None
[2026-03-23T07:28:03.882+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16196, status='terminated', started='07:27:16') (16196) terminated with exit code None
[2026-03-23T07:28:03.899+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12377, status='terminated', started='07:26:34') (12377) terminated with exit code None
[2026-03-23T07:28:03.909+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15795, status='terminated', started='07:27:01') (15795) terminated with exit code None
[2026-03-23T07:28:03.918+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15653, status='terminated', started='07:26:58') (15653) terminated with exit code None
[2026-03-23T07:28:03.933+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13642, status='terminated', started='07:26:39') (13642) terminated with exit code None
[2026-03-23T07:28:03.976+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15789, status='terminated', started='07:27:00') (15789) terminated with exit code None
[2026-03-23T07:28:03.981+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15504, status='terminated', started='07:26:57') (15504) terminated with exit code None
[2026-03-23T07:28:03.995+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14294, status='terminated', started='07:26:44') (14294) terminated with exit code None
[2026-03-23T07:28:03.998+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13376, status='terminated', started='07:26:38') (13376) terminated with exit code None
[2026-03-23T07:28:04.004+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13105, status='terminated', started='07:26:37') (13105) terminated with exit code None
[2026-03-23T07:28:04.015+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15108, status='terminated', started='07:26:52') (15108) terminated with exit code None
[2026-03-23T07:28:04.018+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13212, status='terminated', started='07:26:38') (13212) terminated with exit code None
[2026-03-23T07:28:04.026+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12393, status='terminated', started='07:26:35') (12393) terminated with exit code None
[2026-03-23T07:28:04.035+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15626, status='terminated', started='07:26:58') (15626) terminated with exit code None
[2026-03-23T07:28:04.041+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15234, status='terminated', started='07:26:54') (15234) terminated with exit code None
[2026-03-23T07:28:04.045+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15103, status='terminated', started='07:26:52') (15103) terminated with exit code None
